Expression anglaise	Expression française	Partie du corps
Play footsie with [sb], play footsies with [sb] (v., loc.)	Faire du pied à [qqn] (v., loc.)	Oui, la même
On your knees (adv., fig.)	À genoux (adv., loc.)	Oui, la même
On your knees (adv., fig.)	Sur les rotules (adv., loc., fig.) (informel)	Oui, la même
Cost an arm and a leg (v., loc., fig.) (argotique)	Coûter un bras (v., loc., fig.) (informel)	Oui, la même
Booty call (n.) (argotique)	Plan cul (n., fig.) (vulgaire)	Oui, la même
Have your back to the wall (v., loc., fig.)	Être dos au mur (v., loc., fig.)	Oui, la même
Behind [sb]'s back (adv., loc., fig.) (informel)	Dans le dos de [qqn] (adv., loc.)	Oui, la même
Twiddle your thumbs (v., loc., fig.) (informel)	Se tourner les pouces (v., loc., fig.)	Oui, la même
At your fingertips (adv., loc., fig.)	À portée de main (adv., loc.)	Oui, mais différente
Get your fingers burned (US), get your fingers burnt (UK), burn your fingers (v., loc., fig.)	Avoir été échaudé (v., loc.)	Non
Lift a finger, lift a hand (v., loc., fig.)	Lever le petit doigt (v., loc., fig.)	Oui, la même
Grease [sb]'s palm, grease the palm of [sb], grease [sb]'s hand, grease the hand of [sb] (v., loc., fig.)	Graisser la patte de [qqn] (v., loc., fig.)	Oui, mais différente
Hand in glove also US: hand and glove (in partnership) (adv., loc., fig.)	Main dans la main (adv., loc.)	Oui, la même
Hand in glove with [sb/sth], also US: hand and glove with [sb/sth] (in partnership) (adv., fig.)	Main dans la main avec [qqn/qqch] (adv.)	Oui, la même
Join hands, join hands with [sb] (v., loc., fig.)	Agir main dans la main [avec qqn] (v.)	Oui, la même
Lend a hand (v., loc., fig.)	Donner un coup de main (v., loc., fig.)	Oui, la même
Right-hand man (n.)	Bras droit (n., fig.)	Oui, mais différente
Elbow your way in, elbow in (v., fig.) (informel)	Jouer des coudes pour entrer quelque part (v., loc.)	Oui, la même
Elbow your way in, elbow in (v., fig.) (informel)	Entrer en jouant des coudes (v., loc.)	Oui, la même
With open arms (adv., fig.)	À bras ouverts (adv., loc.)	Oui, la même
Have a good head on your shoulders (v., loc., fig.)	Avoir la tête sur les épaules (v., loc.)	Oui, la même
Cut your teeth (v., loc., fig.)	Se faire les dents (sur [qch]) (v., fig.)	Oui, la même
Born with a silver spoon in your mouth (adj., fig.)	Né avec une cuillière d'argent dans la bouche (adj., loc., fig.)	Oui, la même
Lick your chops (v., loc., fig.) (informel)	S'en lécher les babines (v., loc.)	Oui, la même
Make [sb]'s mouth water (v., loc.) (informel)	Mettre l'eau à la bouche à [qqn] (v., loc. + prep)	Oui, la même
Word of mouth (n.)	Bouche à oreille (n.)	Oui, la même
Lead [sb] by the nose (control, steer to do [sth]) (v., loc., fig.)	Mener [qqn] par le bout du nez (v., loc.)	Oui, la même
Turn the other cheek (v., loc., fig.)	Tendre l'autre joue (v., loc.)	Oui, la même
Go in one ear and out the other (v., loc., fig.) (informel)	Entrer par une oreille et sortir par l'autre (v., expr.)	Oui, la même
Turn a deaf ear (be unwilling to listen) (v., loc., fig.)	Faire la sourde oreille (v., loc.)	Oui, la même
Not bat an eyelash (US), not bat an eyelid (UK) (v., loc., fig.) (informel)	Ne pas ciller (v., loc., fig.)	Oui, la même
Have an eye for [sth] (notice) (v., loc.) (informel)	Avoir l'œil pour (v.)	Oui, la même
Have your eye on [sb] (watch) (v., loc.)	Avoir à l'œil (v.)	Oui, la même
Keep your eyes peeled (v., loc., fig.)	Ouvrir l'œil (v., loc., fig.)	Oui, la même
Make eyes at [sb] (v., loc.)	Faire de l'œil à [qqn] (v., loc.) (informel)	Oui, la même
Make eyes at [sb] (v., loc.)	Faire des œillades à [qqn] (v., loc.)	Oui, la même
Turn a blind eye (pretend not to see [sth]) (v., loc., fig.)	Fermer les yeux (v., loc., fig.)	Oui, la même
Turn a blind eye on [sth], turn a blind eye to [sth] (pretend not to see) (v., loc., fig.)	Fermer les yeux sur [qch] (v., loc. + prep., fig.)	Oui, la même
Red-faced (adj., fig.)	Tout rouge (adj., loc., fig.)	Non
Split hairs (v., loc., fig.)	Couper les cheveux en quatre (v., loc., fig.)	Oui, la même
Go to [sb]'s head (v., loc., fig.) (argotique)	Monter à la tête de [qqn] (v., loc., fig.) (informel)	Oui, la même
Have a thick skin (v., loc., fig.)	Avoir la peau dure (v., loc., fig.)	Oui, la même
Heavy heart (n.)	Cœur gros (n., fig.)	Oui, la même
With a heavy heart (adv.)	Le cœur lourd (adv., loc.)	Oui, la même
Set your heart on [sth], have your heart set on [sth] (v., loc., fig.)	Tenir à cœur à [qqn] (v., loc.)	Oui, la même
At the top of your lungs (adv., loc.)	À pleins poumons (adv., loc.)	Oui, la même
Make [sb]'s blood run cold, make your blood run cold (v., loc.)	Glacer le sang de [qqn] (v., loc.)	Oui, la même
Rack your brains, rack your brain, wrack your brains, wrack your brain (v., loc.)	Se creuser la cervelle (v., loc.)	Oui, la même
Rack your brains, rack your brain, wrack your brains, wrack your brain (v., loc.)	Se creuser la téte (v., loc.)	Oui, mais différente
Rack your brains, rack your brain, wrack your brains, wrack your brain (v., loc.)	Se creuser les méninges (v., loc.)	Oui, la même
