Expression anglaise	Quels classements de mot ?	Quels mots ?
Dig your heels in	le mot-clé	dig
Be on your toes	aucun	none
Step on [sb]'s toes, tread on [sb]'s toes	le mot-clé	step
Feet of clay	aucun	none
Have your feet on the ground	aucun	none
Get your foot in the door	la PDC, autre(s)	foot, door
Let the grass grow under your feet	le mot-clé, autre(s)	let, grass, grow, under
Have one foot in the grave	la PDC, autre(s)	foot, grave
On foot	la PDC	foot
On your feet	aucun	none
Play footsie with [sb], play footsies with [sb]	la PDC, mot-clé	play, footsie
Put your best foot forward (do your best)	la PDC	foot
Put your best foot forward (make a good impression)	la PDC	foot
Put your foot down	la PDC	foot
Put your foot in your mouth	la PDC, mot-clé	put, foot, mouth
Shake the dust from your feet	le mot-clé, autre(s)	shake, dust
Stand on your own two feet	aucun	none
Think on your feet	le mot-clé	think
Wait on [sb] hand and foot	la PDC, mot-clé	wait, hand, foot
Achilles' heel	la PDC, mot-clé	achilles, heel
Fall head over heels	la PDC, mot-clé	fall, head
Kick up your heels	le mot-clé	kick
Show [sb] a clean pair of heels, show a clean pair of heels to [sb]	le mot-clé	show
Knee-jerk reaction, UK: kneejerk reaction	la PDC, mot-clé	knee, reaction
On your knees	aucun	none
Cost an arm and a leg	la PDC, mot-clé	cost, arm, leg
Get a leg up	la PDC, mot-clé	get, leg
Not have a leg to stand on	la PDC	leg
Pull [sb]'s leg	la PDC, mot-clé	pull, leg
Stretch your legs	la PDC	leg
Shoot from the hip	la PDC, mot-clé	shoot, hip
Pain in the ass (US), pain in the arse (UK)	la PDC, mot-clé	pain, ass
Booty call	la PDC, mot-clé	booty, call
Cover your ass	la PDC, mot-clé	cover, ass
Get off your chest	la PDC	chest
Have your back to the wall	autre(s)	wall
Behind [sb]'s back	le mot-clé	behind
Get off [sb]'s back	aucun	none
Pat yourself on the back	le mot-clé	pat
Pat on the back	le mot-clé	pat
Turn your back on [sb/sth]	aucun	none
Thumb through [sth]	la PDC/mot-clé	thumb
Twiddle your thumbs	le mot-clé	twiddle
At your fingertips	aucun	none
Get your fingers burned (US), get your fingers burnt (UK), burn your fingers	le mot-clé, autre(s)	get, burned
Have a finger in the pie	la PDC, le mot-clé, autre(s)	have, finger, pie
Lay a finger on [sb]/[sth]	la PDC, mot-clé	lay, finger
Lift a finger, lift a hand	la PDC, mot-clé	lift, finger
Slip through [sb]'s fingers	le mot-clé	slip
Grease [sb]'s palm, grease the palm of [sb], grease [sb]'s hand, grease the hand of [sb]	la PDC, mot-clé	grease, palm, hand
At hand	la PDC	hand
Backhanded compliment (insult disguised as flattery)	la PDC, mot-clé	compliment, backhanded
Left-handed compliment, backhanded compliment (false compliment, insult)	la PDC, mot-clé	compliment, left-handed, backhanded
Clean hands	autre(s)	clean
Close at hand	la PDC, mot-clé	close, hand
Hand in glove also US: hand and glove (in partnership)	la PDC/mot-clé, autre(s)	hand, glove
Hand in glove with [sb/sth], also US: hand and glove with [sb/sth] (in partnership)	la PDC/mot-clé, autre(s)	hand, glove
Hand over fist	la PDC/mot-clé	hand, fist
Hand-to-hand, hand to hand	aucun	none
Have a hand in [sth]	le mot-clé	have
