Expression anglaise	Expression française
Have your feet on the ground (v, expr)	Avoir les pieds sur terre (v, expr, fig)
Achilles' heel (n, fig)	Talon d'Achille (n)
On your knees (adv, fig)	Sur les genoux (adv, expr, fig)
Turn your back on [sb/sth] (v)	Tourner le dos à [qqn] (v)
Lay your hands on [sth], lay hands on [sth] (v, expr, fig)	Mettre la main sur [qqch] (v, expr)
Jump down [sb]'s throat (v, expr)	Sauter à la gorge de [qqn] (v, expr, fig)
Have a lump in your throat (v, expr, fig)	Avoir une boule dans la gorge (v, expr)
Be on the tip of your tongue (v, expr, fig)	Avoir [qch] sur le bout de la langue (v, expr)
Armed to the teeth (adj, fig)	Armé jusqu'aux dents (adj)
Under [sb]'s nose, right under [sb]'s nose (adv, expr)	Sous le nez de [qqn] (adv)
Lend an ear to [sb], lend [sb] an ear (v, expr, fig)	Prêter l'oreille (à [qch]), prêter une oreille (à [qch]) (v, expr)
Keep an eye on [sth/sb] (v, expr)	Garder un œil sur [qch] (v)
Set eyes on [sth/sb] (v, expr, fig)	Poser les yeux sur [qch/qqn] (v, expr)
Out of the corner of your eye (adv)	Du coin de l'œil (adv, expr)
Raise eyebrows, raise a few eyebrows (v, fig)	Faire froncer des sourcils (v, expr)
Big head (n)	Grosse tête (n, fig)
From the bottom of [sb]'s heart (adv, expr)	Du fond du cœur (adv)
Heart of stone (n, fig)	Cœur de pierre (n)
Take [sth] to heart (v, expr)	Prendre au cœur (v)
In cold blood (adv, fig)	De sang-froid (adv, expr)
